ID,ADDRESS,LAT,LONG
1,"APT 15, SANDON COVE, CASTLE AVE DUBLIN 3, Dublin, Ireland",53.33306,-6.24889
2,"27 Beresford Avenue, Donabate, County Dublin, Dublin, Ireland",53.38046,-6.27113
3,"3 KILLOSSERY, ROWLESTOWN, DUBLIN, Dublin, Ireland",53.4885221,-6.3026636
4,"93 BALLYFERMOT CRESCENT, DUBLIN 10, DUBLIN, Dublin, Ireland",53.340105,-6.3496357
5,"185 CLONSILLA ROAD, BLANCHARDSTOWN, DUBLIN 15, Dublin, Ireland",53.3840324,-6.3912511
6,"29 CHERRYWOOD GROVE, CLONDALKIN, DUBLIN 22, Dublin, Ireland",53.3196819,-6.4075372
7,"29 FOXES GROVE, SHANKILL, DUBLIN, Dublin, Ireland",53.2320578,-6.1172735
8,"3 HARELAWN PARK, CLONDALKIN, DUBLIN 22, Dublin, Ireland",53.3475138,-6.3944898
9,"41 HAYWORTH TERRACE, ONGAR, CLONSILLA, Dublin, Ireland",53.3923415,-6.4379271
10,"113 ARDLEA RD, ARTANE, DUBLIN 5, Dublin, Ireland",53.3868614,-6.2147111
11,"14 Gandon Place, Gandon Park, Lucan, Dublin, Ireland",53.3476528,-6.4642908
12,"17 MILLRACE GREEN, SAGGART, DUBLIN, Dublin, Ireland",53.2807153,-6.4488847
13,"18 ARDMORE CRESCENT, ARTANE, DUBLIN 5, Dublin, Ireland",53.387641,-6.2176858
14,"32 SKELLIGS COURT, BLANCHARDSTOWN, DUBLIN 15, Dublin, Ireland",53.3951989,-6.3733403
15,"34 RIALTO ST, DUBLIN 8, DUBLIN, Dublin, Ireland",53.3369853,-6.2961867
16,"36 CRUAGH CLOSE, STEPASIDE, DUBLIN, Dublin, Ireland",53.2516434,-6.2043679
17,"4 Shackleton Links, Shackleton Park, Lucan, Dublin, Ireland",53.3459096,-6.4675315
18,"6 NEWHAVEN CLOSE, BALBRIGGAN, DUBLIN, Dublin, Ireland",53.61618,-6.209137
19,"67 CLONLIFFE RD, BALLYBOUGH, DUBLIN 3, Dublin, Ireland",53.3615467,-6.2462202
20,"95 MEADOW PARK, CHURCHTOWN UPPER, CHURCHTOWN DUBLIN 14, Dublin, Ireland",53.2880698,-6.2608419
21,"1 GEOFFREY KEATING RD, DUBLIN 8, DUBLIN, Dublin, Ireland",53.335558,-6.279174
22,"14 WHITTON RD, TERENURE, DUBLIN 6, Dublin, Ireland",53.3127358,-6.2818581
23,"8 WILLOWBANK DR, RATHFARNHAM, DUBLIN 14, Dublin, Ireland",53.2877563,-6.292194
24,"80 BLASKET SQ, WATERVILLE, BLANCHARDSTOWN DUBLIN 15, Dublin, Ireland",53.3943549,-6.3751771
25,"89 KYLEMORE DR, BALLYFERMOT, DUBLIN, Dublin, Ireland",53.3367464,-6.3523065
26,"96 KINCORA GROVE, CLONTARF, DUBLIN 3, Dublin, Ireland",53.3642706,-6.2097075
27,"APT 75, WYCKHAM PLACE, WYCKHAM WAY DUBLIN 16, Dublin, Ireland",53.281792,-6.2427962
28,"106 MELLOWES RD, FINGLAS WEST DUBLIN 11, DUBLIN, Dublin, Ireland",53.3900036,-6.300783
29,"11 CHURCHWELL GROVE, BELMAYNE, DUBLIN 13, Dublin, Ireland",53.4045783,-6.173937
30,"116 EMMET RD, INCHICORE, DUBLIN CITY, Dublin, Ireland",53.3394549,-6.3205664
31,"131 MOUNT MERRION AVE, BLACKROCK, DUBLIN, Dublin, Ireland",53.2976651,-6.2011708
32,"16 GLEN ELLAN DR, SWORDS, DUBLIN, Dublin, Ireland",53.4667718,-6.2282261
33,"16 MOUNT PROSPECT PARK, CLONTARF, DUBLIN 3, Dublin, Ireland",53.3682531,-6.1890756
34,"18 TYNAN HALL PARK, KINGSWOOD, DUBLIN 24, Dublin, Ireland",53.3059095,-6.3737682
35,"19 EBENEZER TERRACE, DUBLIN 8, DUBLIN, Dublin, Ireland",53.3354694,-6.2825549
36,"19A SYDNEY AVENUE, BLACKROCK, CO DUBLIN, Dublin, Ireland",53.2986809,-6.1832371
37,"23 COOLRUA DR, BEAUMONT, DUBLIN 9, Dublin, Ireland",53.3887279,-6.2335516
38,"28 GLEN ELLAN GREEN, SWORDS, DUBLIN, Dublin, Ireland",53.467168,-6.232066
39,"3 HYDE PARK GARDENS, BLACKROCK, DUBLIN, Dublin, Ireland",53.2981869,-6.1934708
40,"30 THOMAS HAND ST, SKERRIES, CO. DUBLIN, Dublin, Ireland",53.5803735,-6.1090088
