"X","Y","OBJECTID","NAME","ADDRESS","PHONENUMBER","WEBSITE","FACEBOOK","TWITTER","SPORTSHALL","HALL","STAGE","MEETINGROOMS","WIFI","COFFEEDOCK","ITFACILITIES","CHILDCARECRECHE","PARKING","DISABILITYACCESS","OUTDOORFACILITIES","PLAYAREA","SUMMARYACTIVITIES","Creator","CreationDate","Editor","EditorDate","SDCCOwned","PrimaryActivity","EMAIL","LAT","LONG"
"708963.272","731283.582","4807","BLUEBELL UTD AFC LTD.","CARPO PARK, NAAS ROAD, DUBLIN 22","+353","http://","http://www.facebook.com/","@","No","No","No","No","No","No","No","No","No","No","No","No","ACTIVITIES OF SPORT CLUBS","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","Sports and Recreation Clubs","","+53.32058885","-6.36451134"
"711157.444","730123.048","4810","GREENHILLS BOYS FOOTBALL CLUB","SAINT JOSEPH'S ROAD, DUBLIN 12","","http://www.gbfc.ie/","","","No","No","No","No","No","No","No","No","No","No","No","No","Football, soccer","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.30970769","-6.33199956"
"712514.2","729370.597999999","4811","SAINT MARY'S RUGBY FOOTBALL CLUB","TEMPLEVILLE ROAD, DUBLIN 6W","","http://www.stmaryscollegerfc.com/","","","No","No","No","No","No","No","No","No","No","No","No","No","Rugby, fitness,","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","No","SportsRecreationClubs","","+53.30266203","-6.31191674"
"714340.134","729067.687999999","4813","RATHFARNHAM W. S. A. F. ATHLETIC CLUB","59 MAIN STREET, RATHFARNHAM, DUBLIN 14","","http://www.athleticsrathfarnham.ie","","","No","No","No","Yes","No","No","No","No","No","No","No","No","Athletics, running, fitness","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.29955027","-6.28464414"
"711795.146","730295.494200001","4814","ROBERT EMMET'S GAA Club","LIMEKILN LANE, PERRYSTOWN, DUBLIN 12","","http://mygaa.club/clubs/robertemmetsgaa","","","No","","No","No","No","No","No","No","No","No","Yes","No","GAA Sports","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.31112264","-6.32237410"
"711840.8356","730296.9517","4815","MANORTOWN F.C.","LIMEKILN LANE, PERRYSTOWN, DUBLIN 12","","http://www.manortownunited.com/","","","No","No","No","No","No","No","No","No","No","No","No","No","ACTIVITIES OF SPORT CLUBS","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","Sports and Recreation Clubs","","+53.31112609","-6.32168828"
"709698.798","727334.216","4818","SAINT MARY'S BOXING CLUB","SAINT DOMINIC'S ROAD, DUBLIN 24","","","","","No","No","No","No","No","No","No","No","No","No","No","No","ACTIVITIES OF SPORT CLUBS","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","Sports and Recreation Clubs","","+53.28495877","-6.35484090"
"713059.385","728865.715","4820","TEMPLEOGUE TENNIS CLUB","192/194 TEMPLEOGUE ROAD, DUBLIN 6W","+353","http://www.templeoguetennis.com/","","","No","No","No","No","No","No","No","No","No","No","No","No","Tennis Club","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.29801063","-6.30392084"
"712229.134","727878.454","4821","BALLYBODEN SAINT ENDA'S GAA CLUB","FIRHOUSE ROAD, DUBLIN 16","+353 1 494 7950","http://www.bodengaa.ie/","","","No","Yes","Yes","No","No","Yes","No","No","Yes","No","Yes","No","GAA Club and related activities","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","No","SportsRecreationClubs","","+53.28931836","-6.31671885"
"712276.226","728633.259","4822","Templeogue Castle Community Bridge Club","TEMPLEOGUE HOUSE, TEMPLEOGUE ROAD, DUBLIN 6W","+353 1 406 3707 (occasional)","http://www.tccbc.ie/","","","No","No","No","No","No","No","No","No","No","No","No","No","Bridge","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.29608889","-6.31574612"
"711473.132","728679.098999999","4824","NAOMH JUDE GAA Saint Jude","WELLINGTON LANE, DUBLIN 6W","490 5255","http://www.stjudesgaa.ie/","","@","No","Yes","No","Yes","No","Yes","No","No","Yes","No","Yes","No","GAA Club","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","No","SportsRecreationClubs","","+53.29667015","-6.32777160"
"711389.934","728725.516000001","4825","TEMPLEOGUE UNITED","WELLINGTON LANE, DUBLIN 6W","","http://www.templeogueunited.com/","","","No","No","No","No","No","No","No","No","No","No","No","No","ACTIVITIES OF SPORT CLUBS","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.29710461","-6.32900280"
"711605.674","728636.568","4826","FAUGH'S GAA Club","WELLINGTON LANE, DUBLIN 6W","4903566","http://faughs.ie/","","","","Yes","No","Yes","No","No","No","No","Yes","No","Yes","No","GAA  CLUB","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","No","SportsRecreationClubs","secretary.faughshurling.dublin@gaa.ie","+53.29626020","-6.32579918"
"715182.335","726873.228","4828","THREE ROCK ROVERS","MARLEY PARK, GRANGE ROAD, DUBLIN 16","","http://www.threerockrovershc.com/","","","No","No","No","No","No","No","No","No","No","No","No","No","Hockey Club","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.27965528","-6.27281097"
"709176.391","728542.645","4831","PHOENIX GYMNASTICS CLUB","UNIT 1, BROOMHILL TERRACE, DUBLIN 24","296 1428","http://www.phoenixgymnastics.ie/","","","No","No","No","No","No","No","No","No","No","No","No","No","Gymnastic Club sports","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","SouthDublinCoCoMaps","2021/04/13 15:48:57.163+00","Yes","SportsRecreationClubs","","+53.29592228","-6.36225674"
